seed,order,n_src_vois,dist_max_vois(m)
5,11,301,0.142313405657115
5,12,341,0.144140568001074
5,13,381,0.150164483030822
5,14,421,0.152265433261668
5,15,461,0.154210990134178
6,1,6,0.0146937371624186
6,2,16,0.0287474682055507
6,3,31,0.0391836108487377
6,4,51,0.0488229899150055
6,5,76,0.066828647094203
6,6,106,0.0777358309235636
6,7,141,0.0824995335458907
6,8,181,0.0982214956420809
6,9,221,0.108739363772657
6,10,261,0.118282522858692
6,11,301,0.127802701510029
6,12,341,0.134048634526436
6,13,381,0.137541266702141
6,14,421,0.142788158152619
6,15,461,0.149279715615081
7,1,6,0.0215726775511133
7,2,16,0.0395045457103471
7,3,31,0.0547890484797599
7,4,51,0.0681084290595163
7,5,76,0.0774781160712868
7,6,106,0.0844296435288718
7,7,141,0.0946419757725926
7,8,181,0.109531137278657
7,9,221,0.117386232319197
7,10,261,0.121068610542959
7,11,301,0.124456415794795
7,12,341,0.124456415794795
7,13,381,0.124456415794795
7,14,421,0.124456415794795
7,15,461,0.124456415794795
8,1,6,0.0213225108061987
8,2,16,0.0321292919178516
8,3,31,0.0485405540383024
8,4,51,0.0644111631568563
8,5,76,0.0833651329268327
8,6,106,0.0992836836879991
8,7,141,0.110575044451307
8,8,181,0.122629670224289
8,9,221,0.132253637636147
8,10,261,0.140586326516437
8,11,301,0.145340363229415
8,12,341,0.154928815537495
8,13,381,0.166328153273247
8,14,421,0.166328153273247
8,15,461,0.166328153273247
9,1,6,0.0317321409401996
9,2,16,0.0575787669809133
9,3,31,0.0692152257704584
9,4,51,0.0863426795453623
9,5,76,0.105191872823798
9,6,106,0.111767333731437
9,7,141,0.119848526389713
9,8,181,0.130428443835791
9,9,221,0.138459135559546
9,10,261,0.144485707911736
9,11,301,0.152777712036662
9,12,341,0.159436102816377
9,13,381,0.162696249638063
9,14,421,0.166328153273247
9,15,461,0.166328153273247
10,1,6,0.0163970883386231
10,2,16,0.0387709194950481
10,3,31,0.0576591811168997
10,4,51,0.0669247006927315
10,5,76,0.0808330392257276
10,6,106,0.0936254290166394
10,7,141,0.0974835654354667
10,8,181,0.102897093083815
10,9,221,0.114051727925033
10,10,261,0.119396608360998
10,11,301,0.127617084694685
10,12,341,0.135603588481739
10,13,381,0.144898830276587
10,14,421,0.152945332105644
10,15,461,0.161856983948819
11,1,6,0.0220279824604425
11,2,16,0.0322277030895294
11,3,31,0.0438466074133457
11,4,51,0.0611736128271686
11,5,76,0.075686912816416
11,6,106,0.0902445331195881
11,7,141,0.0968997822449703
11,8,181,0.114890404805657
11,9,221,0.127757671827756
11,10,261,0.136269611076894
11,11,301,0.149804173580558
11,12,341,0.154017475138978
11,13,381,0.159121463305311
11,14,421,0.162683027469904
11,15,461,0.166328153273247
12,1,6,0.0216230447082943
12,2,16,0.0418005243999539
12,3,31,0.0638734576293046
12,4,51,0.0807349727132984
12,5,76,0.095921572256658
12,6,106,0.104749656103947
12,7,141,0.113890274706931
12,8,181,0.128271007778864
12,9,221,0.142547473517668
12,10,261,0.152083616357344
12,11,301,0.162683027469904
12,12,341,0.166328153273247
12,13,381,0.166328153273247
12,14,421,0.166328153273247
12,15,461,0.166328153273247
13,1,7,0.0206586796464903
13,2,19,0.0322503599309183
13,3,37,0.0453145447770361
13,4,61,0.0603128426602366
13,5,89,0.0727069792167601
13,6,121,0.0866761748726545
13,7,157,0.1002686740516
13,8,197,0.114819535592724
13,9,239,0.125284457694559
13,10,283,0.137486762358966
13,11,329,0.150164483030822
13,12,377,0.152265433261668
13,13,423,0.156908812154234
13,14,467,0.162981944045772
13,15,509,0.166328153273247
14,1,7,0.0209831836626325
14,2,19,0.0398109425339933
14,3,37,0.0562472843871189
14,4,61,0.0736366271361223
14,5,89,0.0823609839400409
14,6,121,0.0966302944516189
14,7,157,0.111851118234363
14,8,197,0.118251013883124
14,9,239,0.123192765697659
14,10,283,0.126394978459929
14,11,329,0.131226836739179
14,12,377,0.133681716105109
14,13,423,0.139413015010002
14,14,467,0.144140568001074
14,15,509,0.150164483030822
15,1,7,0.0202234233888172
15,2,19,0.0364474821270646
15,3,37,0.0536806124960943
15,4,61,0.0736835578101895
15,5,89,0.0900298791452435
15,6,121,0.106018267384994
15,7,157,0.12067104123817
15,8,197,0.129016411715429
15,9,239,0.139413015010002
15,10,283,0.139413015010002
15,11,329,0.142317802127558
15,12,377,0.147294593181711
15,13,423,0.147683310681717
15,14,467,0.156027835998553
15,15,509,0.157687113816434
16,1,7,0.020619087219948
16,2,19,0.0327849920647674
16,3,37,0.0434991437630736
16,4,61,0.0563343112367578
16,5,89,0.0718272536116117
16,6,121,0.0792489758998586
16,7,157,0.0913291698348469
16,8,197,0.105852417473165
16,9,239,0.124497132227241
16,10,283,0.137117892477577
16,11,329,0.149279715615081
16,12,377,0.154017475138978
16,13,423,0.159369742705965
16,14,467,0.162968823009262
16,15,509,0.166328153273247
17,1,7,0.0176130142175143
17,2,19,0.0339170435583485
17,3,37,0.0478026865662694
17,4,61,0.0591317504568788
17,5,89,0.0687143499670193
17,6,121,0.0768618263750128
17,7,157,0.0863329330345754
17,8,197,0.0943781590566996
17,9,239,0.111036681664567
17,10,283,0.11980249402698
17,11,329,0.131556746504903
17,12,377,0.143501807029215
17,13,423,0.156108467631231
17,14,467,0.162968823009262
17,15,509,0.166328153273247
18,1,7,0.0197854448297574
18,2,19,0.0301744125249399
18,3,37,0.0426293324433367
18,4,61,0.0564134372537578
18,5,89,0.0714505852324913
18,6,121,0.0868449014685265
18,7,157,0.105738072041627
18,8,197,0.12294454030905
18,9,239,0.136814364267688
18,10,283,0.152516543271017
18,11,329,0.162881118557352
18,12,377,0.16415011520207
18,13,423,0.166328153273247
18,14,467,0.166328153273247
18,15,509,0.166328153273247
19,1,7,0.0189875577643706
19,2,19,0.0275503157360974
19,3,37,0.0445014755131881
19,4,61,0.0680964151784166
19,5,89,0.087268517794548
19,6,121,0.094977807638257
19,7,157,0.106537121872194
19,8,197,0.116263615299917
19,9,239,0.127186329119777
19,10,283,0.131808118169177
19,11,329,0.140967736142982
19,12,377,0.145922012959103
19,13,423,0.152233085969198
19,14,467,0.159369742705965
19,15,509,0.162968823009262
20,1,7,0.0199873293303679
20,2,19,0.0414609466213044
20,3,37,0.0648819998728336
20,4,61,0.0798684579386239
20,5,89,0.0990091301381735
20,6,121,0.110792823337569
20,7,157,0.126714654188614
20,8,197,0.140132805380988
20,9,239,0.147486762194219
20,10,283,0.156027835998553
20,11,329,0.157687113816434
20,12,377,0.162696249638063
20,13,423,0.166328153273247
20,14,467,0.166328153273247
20,15,509,0.166328153273247
21,1,7,0.0178187650387301
21,2,19,0.0339795780793723
21,3,37,0.055721978310081
21,4,61,0.0672298861981612
21,5,89,0.0887623644818246
21,6,121,0.102697157911812
21,7,157,0.117971769847721
21,8,197,0.137608241326445
21,9,239,0.150282148836544
21,10,283,0.159369742705965
21,11,329,0.162968823009262
21,12,377,0.16415011520207
21,13,423,0.166328153273247
21,14,467,0.166328153273247
21,15,509,0.166328153273247
22,1,7,0.0287053812206884
22,2,19,0.0528886838147575
22,3,37,0.0766770626332791
22,4,61,0.0940862713320088
22,5,89,0.112739834086454
22,6,121,0.124415900297263
22,7,157,0.131226836739179
22,8,197,0.133681716105109
22,9,239,0.139413015010002
22,10,283,0.139413015010002
22,11,329,0.142317802127558
22,12,377,0.147294593181711
22,13,423,0.147683310681717
22,14,467,0.156027835998553
22,15,509,0.157687113816434
23,1,7,0.0231747934740558
23,2,19,0.0471101908163814
23,3,37,0.0619209931010004
23,4,61,0.0736725074094966
23,5,89,0.083669596625676
23,6,121,0.0919237948178339
23,7,157,0.103777716414641
23,8,197,0.109647563004476
23,9,239,0.11901539756787
23,10,283,0.124415900297263
23,11,329,0.133960880314647
23,12,377,0.136656350439721
23,13,423,0.146324933721479
23,14,467,0.156027835998553
23,15,509,0.157687113816434
24,1,7,0.0262039821328491
24,2,19,0.050644798358729
24,3,37,0.0706175830741311
24,4,61,0.091915998011879
24,5,89,0.113257688425939
24,6,121,0.123843876881671
24,7,157,0.133960880314647
24,8,197,0.136656350439721
24,9,239,0.146324933721479
24,10,283,0.156027835998553
24,11,329,0.157687113816434
24,12,377,0.162696249638063
24,13,423,0.166328153273247
24,14,467,0.166328153273247
24,15,509,0.166328153273247
25,1,7,0.0203635737724351
25,2,19,0.0422015339441744
25,3,37,0.0601419430746709
25,4,61,0.0685912164836305
25,5,89,0.0724632699603083
25,6,121,0.0819038879104415
25,7,157,0.0923371157927422
25,8,197,0.10118016040072
25,9,239,0.106756615154852
25,10,283,0.111767612182462
25,11,329,0.117616356339613
25,12,377,0.125800164692392
25,13,423,0.134836757045249
25,14,467,0.144079337627282
25,15,509,0.152777712036662
26,1,7,0.025365311451629
26,2,19,0.0537783980785656
26,3,37,0.0779814761977313
26,4,61,0.0940835764729934
26,5,89,0.10424029663746
26,6,121,0.105191872823798
26,7,157,0.106661578836122
26,8,197,0.121604632581045
26,9,239,0.134836757045249
26,10,283,0.144079337627282
26,11,329,0.152777712036662
26,12,377,0.159436102816377
26,13,423,0.162696249638063
26,14,467,0.166328153273247
26,15,509,0.166328153273247
27,1,7,0.0238322737564238
27,2,19,0.0456503758839962
27,3,37,0.0636557342576049
27,4,61,0.0845988044210049
27,5,89,0.0901887235556063
27,6,121,0.103058559847087
27,7,157,0.117616356339613
27,8,197,0.125800164692392
27,9,239,0.128462638101376
27,10,283,0.129300190722258
27,11,329,0.132916298400618
27,12,377,0.139038844793342
27,13,423,0.146534787379953
27,14,467,0.152945332105644
27,15,509,0.161856983948819
28,1,7,0.017199773928464
28,2,19,0.0321635865276036
28,3,37,0.0481005079197712
28,4,61,0.0681708077134859
28,5,89,0.0796939102458419
28,6,121,0.0884485459055973
28,7,157,0.101147528890345
28,8,197,0.121347545479151
28,9,239,0.130998464985333
28,10,283,0.145057750347463
28,11,329,0.154210990134178
28,12,377,0.15800705419946
28,13,423,0.162981944045772
28,14,467,0.166328153273247
28,15,509,0.166328153273247
29,1,7,0.0296349711802227
29,2,19,0.043175415669501
29,3,37,0.058947154322915
29,4,61,0.0682974106691185
29,5,89,0.0725008065857261
29,6,121,0.0785354870422081
29,7,157,0.0973062877960111
29,8,197,0.115768967789593
29,9,239,0.134984732788293
29,10,283,0.14840242417583
29,11,329,0.161856983948819
29,12,377,0.164763251308503
29,13,423,0.166328153273247
29,14,467,0.166328153273247
29,15,509,0.166328153273247
30,1,7,0.0175695270738323
30,2,19,0.0315465089832155
30,3,37,0.0455193766994225
30,4,61,0.0586163946088898
30,5,89,0.0700232764302312
30,6,121,0.0846264046156062
30,7,157,0.0911048498744545
30,8,197,0.107355773574298
30,9,239,0.124021968639213
30,10,283,0.136754637876478
30,11,329,0.142158832479852
30,12,377,0.154017475138978
30,13,423,0.154017475138978
30,14,467,0.160021954687704
30,15,509,0.166328153273247
31,1,7,0.0200971045937818
31,2,19,0.0359468697455754
31,3,37,0.0446708040550409
31,4,61,0.0612589357493412
31,5,89,0.0782021425738964
31,6,121,0.088649726347213
31,7,157,0.0946419757725926
31,8,197,0.104233813253952
31,9,239,0.114179925095208
31,10,283,0.121302188683442
31,11,329,0.124456415794795
31,12,377,0.124456415794795
31,13,423,0.130235863902873
31,14,467,0.136754637876478
31,15,509,0.142158832479852
32,1,7,0.0212166447121141
32,2,19,0.0385567327578887
32,3,37,0.0581502831955507
32,4,61,0.0749542276391343
32,5,89,0.0931752026580175
32,6,121,0.108517306642957
32,7,157,0.122410934111104
32,8,197,0.122771810684989
32,9,239,0.122771810684989
32,10,283,0.122974054051871
32,11,329,0.122974054051871
32,12,377,0.131479694624466
32,13,423,0.142547473517668
32,14,467,0.152083616357344
32,15,509,0.162683027469904
33,1,7,0.0273261554943496
33,2,19,0.0420800407143052
33,3,37,0.0596358320241372
33,4,61,0.0741658366270117
33,5,89,0.0871475802538374
33,6,121,0.0901840018747874
33,7,157,0.0965546136043936
33,8,197,0.105745157312371
33,9,239,0.108698734521572
33,10,283,0.109499253887735
33,11,329,0.116039622841159
33,12,377,0.120155865962751
33,13,423,0.129858428507286
33,14,467,0.139681956393047
33,15,509,0.145340363229415
34,1,7,0.0218749504876842
34,2,19,0.0340928520342244
34,3,37,0.0529402746129221
34,4,61,0.0706289252961927
34,5,89,0.0896303899471451
34,6,121,0.102828973252133
34,7,157,0.116039622841159
34,8,197,0.120155865962751
34,9,239,0.129858428507286
34,10,283,0.139681956393047
34,11,329,0.145340363229415
34,12,377,0.154928815537495
34,13,423,0.166328153273247
34,14,467,0.166328153273247
34,15,509,0.166328153273247
35,1,7,0.024543203172734
35,2,19,0.0430756737172588
35,3,37,0.0533675666993321
35,4,61,0.0650775239322511
35,5,89,0.068758401161893
35,6,121,0.0866435319980464
35,7,157,0.0989943095742643
35,8,197,0.109531137278657
35,9,239,0.120731976106591
35,10,283,0.122997579610305
35,11,329,0.124456415794795
35,12,377,0.131479694624466
35,13,423,0.142547473517668
35,14,467,0.152083616357344
35,15,509,0.162683027469904
36,1,7,0.0214753690303084
36,2,19,0.0455859516652987
36,3,37,0.068467949475484
36,4,61,0.0836088302925978
36,5,89,0.105833778133039
36,6,121,0.12647921541799
36,7,157,0.135558791414509
36,8,197,0.151243082559919
36,9,239,0.166328153273247
36,10,283,0.166328153273247
36,11,329,0.166328153273247
36,12,377,0.166328153273247
36,13,423,0.166328153273247
36,14,467,0.166328153273247
36,15,509,0.166328153273247
37,1,7,0.0226338919867222
37,2,19,0.041295111992207
37,3,37,0.0659485214619142
37,4,61,0.0886658061870465
37,5,89,0.105060440498
37,6,121,0.118709746089383
37,7,157,0.132443747841292
37,8,197,0.149648651686385
37,9,239,0.162696249638063
37,10,283,0.166328153273247
37,11,329,0.166328153273247
37,12,377,0.166328153273247
37,13,423,0.166328153273247
37,14,467,0.166328153273247
37,15,509,0.166328153273247
38,1,7,0.0216112795999818
38,2,19,0.0314703596771248
38,3,37,0.042695977384741
38,4,61,0.0623866744175795
38,5,89,0.0835282101080737
38,6,121,0.102581734149092
38,7,157,0.12192981634183
38,8,197,0.134706156371678
38,9,239,0.144898830276587
38,10,283,0.152945332105644
38,11,329,0.161856983948819
38,12,377,0.164763251308503
38,13,423,0.166328153273247
38,14,467,0.166328153273247
38,15,509,0.166328153273247
39,1,7,0.0247828677488495
39,2,19,0.0394932429131275
39,3,37,0.0566320369855506
39,4,61,0.0855828616106165
39,5,89,0.110281305239961
39,6,121,0.129158008638182
39,7,157,0.148579438197876
39,8,197,0.159436102816377
39,9,239,0.162696249638063
39,10,283,0.166328153273247
39,11,329,0.166328153273247
39,12,377,0.166328153273247
39,13,423,0.166328153273247
39,14,467,0.166328153273247
39,15,509,0.166328153273247
40,1,7,0.0241744787111713
40,2,19,0.0469023100584946
40,3,37,0.0690007264547114
40,4,61,0.0788953314096725
40,5,89,0.0930469327908778
40,6,121,0.104749656103947
40,7,157,0.113890274706931
40,8,197,0.128036298309846
40,9,239,0.142547473517668
40,10,283,0.152083616357344
40,11,329,0.162683027469904
40,12,377,0.166328153273247
40,13,423,0.166328153273247
40,14,467,0.166328153273247
40,15,509,0.166328153273247
41,1,7,0.0319730856021316
41,2,19,0.0572088227197191
41,3,37,0.0800399496299415
41,4,61,0.0902611041456017
41,5,89,0.108981577421959
41,6,121,0.115735604561919
41,7,157,0.122771810684989
41,8,197,0.122974054051871
41,9,239,0.122974054051871
41,10,283,0.122974054051871
41,11,329,0.122974054051871
41,12,377,0.131479694624466
41,13,423,0.142547473517668
41,14,467,0.152083616357344
41,15,509,0.162683027469904
42,1,7,0.0307039424162064
42,2,19,0.049596451570156
42,3,37,0.0659186912327803
42,4,61,0.0772843369131432
42,5,89,0.0965117202030208
42,6,121,0.105311240014704
42,7,157,0.117479778907208
42,8,197,0.131479694624466
42,9,239,0.142547473517668
42,10,283,0.152083616357344
42,11,329,0.162683027469904
42,12,377,0.166328153273247
42,13,423,0.166328153273247
42,14,467,0.166328153273247
42,15,509,0.166328153273247
43,1,7,0.020382812983798
43,2,19,0.0324735335850293
43,3,36,0.0450228827668132
43,4,58,0.0608100399225582
43,5,85,0.0700525555062142
43,6,117,0.0881209399153916
43,7,153,0.105438441361084
43,8,193,0.115902610182713
43,9,235,0.125034712584449
43,10,279,0.140014723055511
43,11,323,0.150164483030822
43,12,367,0.156027835998553
43,13,411,0.157687113816434
43,14,455,0.162981944045772
43,15,497,0.166328153273247
44,1,7,0.0191707177156178
44,2,19,0.0348373980975882
44,3,37,0.04933185753968
44,4,61,0.0666799547315286
44,5,90,0.0845609510989769
44,6,124,0.0963980861016001
44,7,161,0.114441822476461
44,8,201,0.124968861236807
44,9,244,0.139413015010002
44,10,290,0.142174835776815
44,11,337,0.142465805860546
44,12,385,0.147294593181711
44,13,431,0.150164483030822
44,14,475,0.156027835998553
44,15,514,0.157687113816434
45,1,7,0.0182752901944658
45,2,19,0.0320743198791192
45,3,36,0.0495987068014515
45,4,58,0.0657097185441082
45,5,85,0.0857725754093491
45,6,117,0.0957655868527483
45,7,153,0.115362291884288
45,8,193,0.123547283716937
45,9,235,0.133563188848812
45,10,279,0.145493705073081
45,11,323,0.147683310681717
45,12,367,0.156027835998553
45,13,411,0.157687113816434
45,14,455,0.162139434252805
45,15,497,0.166328153273247
46,1,7,0.0200598214862158
46,2,19,0.0307817911284494
46,3,36,0.0427150721517459
46,4,58,0.0581918547948036
46,5,85,0.0760802126937602
46,6,117,0.0833404892557085
46,7,153,0.0947938425376325
46,8,193,0.109547886998005
46,9,235,0.124853246159942
46,10,279,0.136112147452679
46,11,323,0.145717172683037
46,12,367,0.158596574470081
46,13,411,0.166328153273247
46,14,455,0.166328153273247
46,15,497,0.166328153273247
47,1,7,0.022815661881141
47,2,19,0.034140798588933
47,3,37,0.0455523825971457
47,4,61,0.0565930860970824
47,5,90,0.0702525652402767
47,6,124,0.0789321031045059
47,7,161,0.0934600244485675
47,8,201,0.108116405078278
47,9,244,0.126486270747977
47,10,290,0.135835468370727
47,11,337,0.145717172683037
47,12,385,0.158596574470081
47,13,431,0.166328153273247
47,14,475,0.166328153273247
47,15,514,0.166328153273247
48,1,7,0.0170315528408162
48,2,19,0.0319699472787413
48,3,36,0.0438289637457608
48,4,58,0.0524214624644493
48,5,85,0.0725768612642634
48,6,117,0.0913615890092293
48,7,153,0.104855324174291
48,8,193,0.120260159385136
48,9,235,0.133255848137867
48,10,279,0.147754342980447
48,11,323,0.153848697246206
48,12,367,0.162981944045772
48,13,411,0.166328153273247
48,14,455,0.166328153273247
48,15,497,0.166328153273247
49,1,7,0.0169383798867077
49,2,19,0.0313464763897025
49,3,37,0.0450928294701776
49,4,61,0.0574334655017099
49,5,90,0.0644791914025328
49,6,124,0.0759730369110658
49,7,161,0.0952151850292018
49,8,201,0.112758988235666
49,9,244,0.128148701572444
49,10,290,0.144966232159578
49,11,337,0.158269159143228
49,12,385,0.162968823009262
49,13,431,0.16415011520207
49,14,475,0.166328153273247
49,15,514,0.166328153273247
50,1,7,0.0206509621069468
50,2,19,0.0349305682815167
50,3,36,0.0568611111459086
50,4,58,0.0689830648572729
50,5,85,0.0891764601558784
50,6,117,0.102817971780934
50,7,153,0.118629299733445
50,8,193,0.136305756623552
50,9,235,0.142521516592911
50,10,279,0.156027835998553
50,11,323,0.157687113816434
50,12,367,0.162139434252805
50,13,411,0.166328153273247
50,14,455,0.166328153273247
50,15,497,0.166328153273247
51,1,7,0.0211173967418432
51,2,19,0.031440750353303
51,3,37,0.0509263782657519
51,4,61,0.0654712548281058
51,5,90,0.0859494943621727
51,6,124,0.106661388148156
51,7,161,0.119608411251274
51,8,201,0.140170859282603
51,9,244,0.150651192171144
51,10,290,0.159238908301912
51,11,337,0.166328153273247
51,12,385,0.166328153273247
51,13,431,0.166328153273247
51,14,475,0.166328153273247
51,15,514,0.166328153273247
52,1,7,0.0246869612429019
52,2,19,0.0430636167347271
52,3,37,0.0620313908592581
52,4,61,0.0823391717191816
52,5,90,0.102407387381655
52,6,124,0.11606999750248
52,7,161,0.129755848701164
52,8,201,0.135607955479783
52,9,244,0.142317802127558
52,10,290,0.147294593181711
52,11,337,0.147683310681717
52,12,385,0.156027835998553
52,13,431,0.157687113816434
52,14,475,0.162696249638063
52,15,514,0.166328153273247
53,1,7,0.0233097475445485
53,2,19,0.0456216414026493
53,3,36,0.0666655106970432
53,4,58,0.0781022571626181
53,5,85,0.0840659252906043
53,6,117,0.0951950636988261
53,7,153,0.103777716414641
53,8,193,0.112192627379593
53,9,235,0.119931570091574
53,10,279,0.124415900297263
53,11,323,0.131226836739179
53,12,367,0.133681716105109
53,13,411,0.139413015010002
53,14,455,0.146266703107609
53,15,497,0.147683310681717
54,1,7,0.0253016548713346
54,2,19,0.0508578210881814
54,3,37,0.0735464995587168
54,4,61,0.0919237948178339
54,5,90,0.103777716414641
54,6,124,0.109647563004476
54,7,161,0.11901539756787
54,8,201,0.124415900297263
54,9,244,0.131226836739179
54,10,290,0.133681716105109
54,11,337,0.139413015010002
54,12,385,0.146266703107609
54,13,431,0.147683310681717
54,14,475,0.156027835998553
54,15,514,0.157687113816434
55,1,7,0.0270646503492663
55,2,19,0.052001313706862
55,3,36,0.0679129148576781
55,4,58,0.0871413919988955
55,5,85,0.103777716414641
55,6,117,0.112192627379593
55,7,153,0.119931570091574
55,8,193,0.124415900297263
55,9,235,0.131226836739179
55,10,279,0.133681716105109
55,11,323,0.139413015010002
55,12,367,0.139413015010002
55,13,411,0.142317802127558
55,14,455,0.147294593181711
55,15,497,0.147683310681717
56,1,7,0.0225024108566726
56,2,19,0.044972148907312
56,3,36,0.0666634356821305
56,4,58,0.0746320097911279
56,5,85,0.0845483770364472
56,6,117,0.0944510741507325
56,7,153,0.0982970404225091
56,8,193,0.101679771667197
56,9,235,0.107559932218071
56,10,279,0.115841425978203
56,11,323,0.121762099066108
56,12,367,0.126394978459929
56,13,411,0.131226836739179
56,14,455,0.133681716105109
56,15,497,0.139413015010002
57,1,7,0.0260218603333419
57,2,19,0.0410952364473021
57,3,37,0.0546191802937828
57,4,61,0.0666954894771352
57,5,90,0.0733272465134987
57,6,124,0.0895167167885497
57,7,161,0.0921792610970432
57,8,201,0.0978525885965075
57,9,244,0.108269748148801
57,10,290,0.112231878731564
57,11,337,0.119931570091574
57,12,385,0.128385555163311
57,13,431,0.138459135559546
57,14,475,0.144485707911736
57,15,514,0.152777712036662
58,1,7,0.0210092415193933
58,2,19,0.0388255671568959
58,3,36,0.0600343342422125
58,4,58,0.0819971723406571
58,5,85,0.0982970404225091
58,6,117,0.101679771667197
58,7,153,0.107559932218071
58,8,193,0.115841425978203
58,9,235,0.121762099066108
58,10,279,0.126394978459929
58,11,323,0.131226836739179
58,12,367,0.133681716105109
58,13,411,0.139413015010002
58,14,455,0.142174835776815
58,15,497,0.142465805860546
59,1,7,0.0213512587943258
59,2,19,0.0386947537693614
59,3,37,0.0538226474642404
59,4,61,0.0723818823839596
59,5,90,0.0900180463571977
59,6,124,0.0969908363320335
59,7,161,0.100387382151278
59,8,201,0.104832108889831
59,9,244,0.111851118234363
59,10,290,0.118794605449984
59,11,337,0.125867735365846
59,12,385,0.128842445825978
59,13,431,0.131226836739179
59,14,475,0.138756131199277
59,15,514,0.142313405657115
60,1,7,0.0248770605632839
60,2,19,0.04489521647078
60,3,36,0.0536423196537384
60,4,58,0.0648274848564466
60,5,85,0.0768994216368336
60,6,117,0.0907590562212835
60,7,153,0.101864707766413
60,8,193,0.119046713954734
60,9,235,0.12684618735633
60,10,279,0.137486762358966
60,11,323,0.150164483030822
60,12,367,0.152265433261668
60,13,411,0.154210990134178
60,14,455,0.15800705419946
60,15,497,0.162981944045772
61,1,7,0.0258276366826558
61,2,19,0.0481781941981744
61,3,37,0.0625316005579291
61,4,61,0.0708980206954339
61,5,90,0.0838005456006215
61,6,124,0.102637967252951
61,7,161,0.110034938178233
61,8,201,0.121001569994471
61,9,244,0.132916298400618
61,10,290,0.139038844793342
61,11,337,0.146534787379953
61,12,385,0.152265433261668
61,13,431,0.159532103026871
61,14,475,0.164763251308503
61,15,514,0.166328153273247
62,1,7,0.0188062066182341
62,2,19,0.0359274514397216
62,3,36,0.0541205634092103
62,4,58,0.0687536723244847
62,5,85,0.0826386539875321
62,6,117,0.0976190366437743
62,7,153,0.107307745819064
62,8,193,0.120908441117542
62,9,235,0.12952476724786
62,10,279,0.138756131199277
62,11,323,0.142313405657115
62,12,367,0.144140568001074
62,13,411,0.150164483030822
62,14,455,0.152265433261668
62,15,497,0.159532103026871
63,1,7,0.0179586245522288
63,2,19,0.0315486411344362
63,3,36,0.0465058597799682
63,4,58,0.0571064866368857
63,5,85,0.0663091584222574
63,6,117,0.0777917283307931
63,7,153,0.0878916875707289
63,8,193,0.10142902494634
63,9,235,0.115406960109938
63,10,279,0.126916313700339
63,11,323,0.136689290114004
63,12,367,0.146449485772434
63,13,411,0.154210990134178
63,14,455,0.15800705419946
63,15,497,0.162981944045772
64,1,7,0.0210082779325601
64,2,19,0.0346069187259857
64,3,37,0.047688809456736
64,4,61,0.0646299246687898
64,5,90,0.0717448560253406
64,6,124,0.08530226059107
64,7,161,0.0990240081543072
64,8,201,0.109663666200139
64,9,244,0.126486270747977
64,10,290,0.135835468370727
64,11,337,0.140546374153655
64,12,385,0.153327839823855
64,13,431,0.162981944045772
64,14,475,0.166328153273247
64,15,514,0.166328153273247
65,1,7,0.0163689277165111
65,2,19,0.0285964885402802
65,3,36,0.0421268075313059
65,4,58,0.0539184575949151
65,5,85,0.065233137045533
65,6,117,0.0840792203391265
65,7,153,0.0984212553885235
65,8,193,0.107502159564286
65,9,235,0.108698734521572
65,10,279,0.115731350787643
65,11,323,0.1223978955533
65,12,367,0.130334800648798
